Agency,Platform,Url,Date Sampled,Likes/Followers/Visits/Downloads
MOIA,Twitter,https://twitter.com/NYCimmigrants,12/12/2012 12:00:00 AM,1670
SBS,Twitter,http://www.twitter.com/NYCBusinessExp,12/12/2012 12:00:00 AM,2189
DEP,Twitter,http://twitter.com/nycwater,12/12/2012 12:00:00 AM,2315
DOITT,Twitter,http://twitter.com/nycdoitt,12/12/2012 12:00:00 AM,2362
PlaNYC,Twitter,http://twitter.com/PlaNYC,12/12/2012 12:00:00 AM,2439
DYCD,Twitter,http://twitter.com/nycyouth,12/12/2012 12:00:00 AM,2330
NYCService,Twitter,http://twitter.com/nycservice,12/12/2012 12:00:00 AM,2472
TLC,Twitter,http://twitter.com/NYCTaxi,12/12/2012 12:00:00 AM,2564
DOB,Twitter,http://twitter.com/nyc_buildings,12/12/2012 12:00:00 AM,2850
NYCHA,Twitter,http://twitter.com/NYCHA,12/12/2012 12:00:00 AM,3308
MOME,Twitter,http://www.twitter.com/nyc_media,12/12/2012 12:00:00 AM,5688
EDC,Twitter,http://twitter.com/nycedc,12/12/2012 12:00:00 AM,5972
DOH,Twitter,http://twitter.com/nycHealthy,12/12/2012 12:00:00 AM,6452
NYC Digital,Twitter,http://twitter.com/nycgov,12/12/2012 12:00:00 AM,9280
311,Twitter,http://www.twitter.com/NYCASP,12/12/2012 12:00:00 AM,8929
DOT,Twitter,http://twitter.com/NYC_DOT,12/12/2012 12:00:00 AM,12534
FDNY,Twitter,http://www.twitter.com/FDNY,12/12/2012 12:00:00 AM,19552
DOE,Twitter,http://twitter.com/NYCSchools,12/12/2012 12:00:00 AM,19088
DPR,Twitter,http://twitter.com/NYCParks,12/12/2012 12:00:00 AM,19454
NYPD,Twitter,http://twitter.com/NYPDnews,12/12/2012 12:00:00 AM,25057
311,Twitter,http://www.twitter.com/311NYC,12/12/2012 12:00:00 AM,23500
OEM,Twitter,http://twitter.com/NotifyNYC,12/12/2012 12:00:00 AM,35653
NYC & Co,Twitter,http://twitter.com/nycgo,12/12/2012 12:00:00 AM,46161
Mayor's Office,Twitter,http://www.twitter.com/nycmayorsoffice,12/12/2012 12:00:00 AM,58192
Change by Us,Twitter,www.twitter.com/ChangebyUs_NYC,12/12/2012 12:00:00 AM,706
DHS,Twitter,www.twitter.com/nycdhs,12/12/2012 12:00:00 AM,125
DOF,Twitter,https://twitter.com/nycfinance,12/12/2012 12:00:00 AM,
DOHMH,Twitter,https://twitter.com/DrFarleyDOHMH,12/12/2012 12:00:00 AM,
DSNY,Twitter,www.twitter.com/nycrecycles,12/12/2012 12:00:00 AM,21
FDNY,Twitter,https://twitter.com/joinFDNY,12/12/2012 12:00:00 AM,
Materials for the Arts,Twitter,https://twitter.com/mftanyc,12/12/2012 12:00:00 AM,
MOAE,Twitter,http://twitter.com/youcantoonyc,12/12/2012 12:00:00 AM,1
NYC Digital,Twitter,https://twitter.com/nycgob,12/12/2012 12:00:00 AM,
NYC Waterfront,Twitter,http://twitter.com/nycwaterfront,12/12/2012 12:00:00 AM,
NYCCFB,Twitter,http://twitter.com/NYCVotes,12/12/2012 12:00:00 AM,
NYCGLOBAL,Twitter,www.twitter.com/nycglobal,12/12/2012 12:00:00 AM,112
Prob,Twitter,www.twitter.com/nycprobation,12/12/2012 12:00:00 AM,26
Vets,Twitter,http://twitter.com/NYCVeterans,12/12/2012 12:00:00 AM,153
DRIS,Twitter,https://twitter.com/NYCRecords,12/12/2012 12:00:00 AM,
YMI,Twitter,http://www.twitter.com/nycyoungmen,12/12/2012 12:00:00 AM,
DOE,Vimeo,http://vimeo.com/nycschools,12/12/2012 12:00:00 AM,
NYCSevereWeather,WordPress,http://nycsevereweather.wordpress.com/,12/12/2012 12:00:00 AM,
311,WordPress,http://311nyc.wordpress.com/,12/12/2012 12:00:00 AM,
DOITT,WordPress,http://nycitymap.wordpress.com/,12/12/2012 12:00:00 AM,
DOITT,WordPress,http://nycitt.wordpress.com/,12/12/2012 12:00:00 AM,
HHS,WordPress,http://hsdatanyc.wordpress.com/,12/12/2012 12:00:00 AM,
HHS,WordPress,http://hsdata-nyc.org,12/12/2012 12:00:00 AM,
LMEC,WordPress,http://lmew.wordpress.com/,12/12/2012 12:00:00 AM,
Materials for the Arts,WordPress,http://mfta.wordpress.com/,12/12/2012 12:00:00 AM,
MOIA,WordPress,http://ihwnyc.wordpress.com,12/12/2012 12:00:00 AM,
SBS,WordPress,http://nycworkforce1partners.wordpress.com/,12/12/2012 12:00:00 AM,
SBS,WordPress,http://workforce1.org,12/12/2012 12:00:00 AM,
SimpliCity,WordPress,http://nycsimplicity.wordpress.com/,12/12/2012 12:00:00 AM,
DOE,YouTube,http://www.youtube.com/thefundforps,12/12/2012 12:00:00 AM,1
DOH,YouTube,http://www.youtube.com/user/NYCcondoms,12/12/2012 12:00:00 AM,1
LMEC,YouTube,http://www.youtube.com/user/NYCLMEW,12/12/2012 12:00:00 AM,5
Probation,YouTube,http://www.youtube.com/NYCProbation,12/12/2012 12:00:00 AM,7
DOITT,YouTube,http://www.youtube.com/doittnews,12/12/2012 12:00:00 AM,24
GreeNYC,YouTube,http://www.youtube.com/BirdieNYCity,12/12/2012 12:00:00 AM,11
HRA,YouTube,http://www.youtube.com/user/HRANYC,12/12/2012 12:00:00 AM,20
NYCHA,YouTube,http://www.youtube.com/NYCHAHousing,12/12/2012 12:00:00 AM,22
HHC,YouTube,http://www.youtube.com/HHCnyc,12/12/2012 12:00:00 AM,31
DOE,YouTube,http://www.youtube.com/nycschools,12/12/2012 12:00:00 AM,45
DYCD,YouTube,http://www.youtube.com/dycdnyc,12/12/2012 12:00:00 AM,51
OEM,YouTube,http://www.youtube.com/nycoem,12/12/2012 12:00:00 AM,55
DOB,YouTube,http://www.youtube.com/NYCBUILDINGS,12/12/2012 12:00:00 AM,72
EDC,YouTube,http://www.youtube.com/NYCEDC,12/12/2012 12:00:00 AM,102
MOME,YouTube,http://www.youtube.com/nycmedia25,12/12/2012 12:00:00 AM,113
